CAMPUS_UTILIZADO,SEDE,NACIONALIDAD,CLAVE_GENERO,AREA,CLAVE_MAJOR_PGMA_ACAD,DESC_CIUDAD_ESCUELA,DESC_MUNICIPIO_ESCUELA,DESC_ESTADO_ESCUELA,DESC_PAIS_ESCUELA,V_PROM_IND,V_PAA_IND,V_TEC_NO_TEC,FECHA_DECISION_ADMISION_FINAL,PERFIL,IPP,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,RUBRICA,ENSAYO,CV,V_SOL_BSE,BECA_SOAF,V_POSTDTA,V_POSTULADOBTE,v_becadobte,BECABTE,DISCIPLINA,BECA_BHP,V_POSSTEAM,V_BHP,V_BSE,v_anybeca,POST_ANYBECA,prcBeca_f,TIPO_BECA_F,V_BECABTE,V_ANY_BECA,PRC_BECA_F
Laguna,LAG,Mexicana,M,PTM,PTM,Torreón,Torreón,Coahuila,México,97.0,1176,No Tec,2024-02-01T00:00:00.000Z,Perfil A+,1,1,Laguna,15.0,Solicitud,50.0,85.0,15.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Sin beca,0.0,0.0,0.0
Toluca,TOL,Mexicana,M,PBB,PBB,Metepec,Metepec,Estado de México,México,93.0,1030,No Tec,2024-01-31T00:00:00.000Z,Perfil A,1,1,Toluca,14.0,Solicitud,19.0,106.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Estado de México,ESM,Mexicana,F,PBB,PBB,Ciudad Adolfo López Mateos,Atizapán de Zaragoza,Estado de México,México,90.5,786,No Tec,2024-02-21T00:00:00.000Z,Perfil D,0,0,Estado de México,15.0,Solicitud,31.0,34.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Hidalgo,HGO,Mexicana,M,PBB,PBB,Mineral de la Reforma,Mineral de la Reforma,Hidalgo,México,88.0,1086,No Tec,2024-01-31T00:00:00.000Z,Perfil A,0,0,Hidalgo,14.0,Solicitud,31.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Eugenio Garza Lagüera,PGL,Mexicana,M,PTM,PTM,Monterrey,Monterrey,Nuevo León,México,95.0,1197,No Tec,2024-02-14T00:00:00.000Z,Perfil A+,0,0,Monterrey,15.0,Solicitud,50.0,94.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Hidalgo,HGO,Mexicana,F,PBB,PBB,Ixmiquilpan,Ixmiquilpan,Hidalgo,México,93.5,870,No Tec,2024-02-28T00:00:00.000Z,Perfil B,0,0,Hidalgo,14.0,Solicitud,20.0,56.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Santa Fe,CSF,Mexicana,M,PTM,PTM,Huixquilucan de Degollado,Huixquilucan,Estado de México,México,89.0,1180,No Tec,2024-02-27T00:00:00.000Z,Perfil A,0,0,Santa Fe,16.0,Solicitud,50.0,98.0,13.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Querétaro,QRO,Mexicana,M,PBB,PBB,Santiago de Querétaro,Querétaro,Querétaro,México,81.0,1092,No Tec,2024-01-24T00:00:00.000Z,Perfil A,1,1,Querétaro,14.0,Solicitud,42.0,83.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Sinaloa,SIN,Mexicana,M,PBB,PBB,Culiacán Rosales,Culiacán,Sinaloa,México,94.0,1265,No Tec,2024-01-19T00:00:00.000Z,Perfil A+,1,1,Sinaloa,15.0,Solicitud,16.0,83.0,13.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Sin beca,0.0,0.0,0.0
Santa Fe,CSF,Mexicana,M,PBB,PBB,Alvaro Obregón,Indefinido,Ciudad de México,México,91.5,1049,No Tec,2024-02-07T00:00:00.000Z,Perfil A,0,0,Santa Fe,15.0,Solicitud,43.0,89.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Valle Alto,SVA,Mexicana,M,PTM,PTM,Monterrey,Monterrey,Nuevo León,México,89.5,1056,No Tec,2024-02-01T00:00:00.000Z,Perfil A,0,0,Monterrey,14.0,Solicitud,46.0,100.0,25.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,Atletico,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Sin beca,0.0,0.0,0.0
Toluca,MET,Mexicana,M,PBB,PBB,Metepec,Metepec,Estado de México,México,84.0,1032,No Tec,2024-02-14T00:00:00.000Z,Perfil A,1,1,Toluca,15.0,Solicitud,29.0,95.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
Puebla,PUE,Mexicana,F,PBB,PBB,San Martín Texmelucan de Labastida,San Martín Texmelucan,Puebla,México,90.0,1254,No Tec,2024-02-13T00:00:00.000Z,Perfil A+,1,1,Puebla,15.0,Solicitud,33.0,95.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0
