CAMPUS_UTILIZADO,SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,AREA,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,NOMBRE_ESCUELA,DESC_CIUDAD_ESCUELA,DESC_MUNICIPIO_ESCUELA,DESC_ESTADO_ESCUELA,V_PROM_IND,V_PAA_IND,FECHA_DECISION_ADMISION_FINAL,IPP,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,V_PLDM,V_SOL_BSE,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,V_POSTULADOBTE,v_becadobte,BECABTE,DISCIPLINA,V_POSBCRE,BECA_BHP,V_POSBEM,V_BHP,V_BSE,v_anybeca,POST_ANYBECA,TIPO_BECA_F,V_BECABTE,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F,V_PAA_MISSING
Toluca,TOL,Mexicana,M,P5,IIT,IIT,H00163,ITESM Campus Toluca,Toluca de Lerdo,Toluca,Estado de México,93.87,1276.0,2023-10-14T00:00:00.000Z,1,1,Toluca,17.0,Base de datos,44.0,0.0,1.0,0.15,0.15,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0
Monterrey,MTY,Mexicana,M,O5,NEG,BGB,H19021,ITESM Campus Valle Alto,Monterrey,Monterrey,Nuevo León,83.9,,2024-02-19T00:00:00.000Z,0,0,Monterrey,18.0,Base de datos,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,1
Monterrey,MTY,Mexicana,F,P5,ESC,ESC,H13917,ITESM Campus Santa Catarina,Ciudad Santa Catarina,Santa Catarina,Nuevo León,94.8,,2023-11-16T00:00:00.000Z,0,0,Monterrey,18.0,Solicitud,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,1
Saltillo,SAL,Mexicana,M,P5,NEG,NEG,H00150,ITESM Campus Saltillo,Saltillo,Saltillo,Coahuila,90.51,1350.0,2023-11-08T00:00:00.000Z,1,1,Saltillo,18.0,Base de datos,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0
Chihuahua,CHH,Mexicana,F,P5,ESC,LAD,H00153,ITESM Campus Chihuahua,Chihuahua,Chihuahua,Chihuahua,92.43,1387.0,2023-10-12T00:00:00.000Z,0,0,Chihuahua,17.0,Base de datos,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0
Toluca,TOL,Mexicana,F,P5,IBQ,IBT,H00163,ITESM Campus Toluca,Toluca de Lerdo,Toluca,Estado de México,94.4,1275.0,2023-10-12T00:00:00.000Z,1,1,Toluca,17.0,Base de datos,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0
Monterrey,MTY,Mexicana,M,O5,IIT,IM,H19021,ITESM Campus Valle Alto,Monterrey,Monterrey,Nuevo León,92.23,1380.0,2023-09-13T00:00:00.000Z,1,1,Monterrey,18.0,Solicitud,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0
Ciudad de México,CCM,Mexicana,M,O5,ESC,ARQ,H00169,ITESM Campus Cuernavaca,Cuernavaca,Cuernavaca,Morelos,85.67,,2024-01-27T00:00:00.000Z,0,0,Cuernavaca,18.0,Base de datos,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,1
Monterrey,MTY,Mexicana,M,O5,CIS,CIS,H00159,ITESM Campus San Luis Potosí,San Luis Potosí,San Luis Potosí,San Luis Potosí,81.2,,2023-11-06T00:00:00.000Z,1,1,San Luis Potosí,17.0,Solicitud,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,1
Querétaro,QRO,Mexicana,F,O5,NEG,BGB,H00160,ITESM Campus Irapuato,Irapuato,Irapuato,Guanajuato,94.76,1194.0,2023-09-26T00:00:00.000Z,1,1,Irapuato,18.0,Solicitud,50.0,0.0,1.0,0.25,0.25,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0
