CAMPUS_UTILIZADO,SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,AREA,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,NOMBRE_ESCUELA,DESC_MUNICIPIO_ESCUELA,DESC_PAIS_ESCUELA,V_PROM_IND,V_PAA_IND,PERFIL,IPP,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,RUBRICA,ENSAYO,CV,V_PLDM,V_SOL_BSE,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,V_POSTULADOBTE,v_becadobte,BECABTE,DISCIPLINA,V_POSBCRE,BECA_BHP,V_POSBEM,V_POSBTT,V_BHP,V_BSE,v_anybeca,POST_ANYBECA,V_BECABTE,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F
Monterrey,MTY,Hondureña,M,N5,SLD,MC,H68075,Santa Maria del Valle,,Honduras,97.59,1478,Perfil A+,1,1,Extranjero LATAM,17.0,Solicitud,110.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,ICT,IRS,H08378,Centro Educativo Piaget,Mérida,México,96.1,1471,Perfil A+,0,0,Puebla,18.0,Solicitud,94.0,19.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Guadalajara,GDA,Estadounidense,F,N5,NEG,BBA,H82284,Cristo Rey Dallas College Prep,,Estados Unidos de América,83.07,1270,Perfil A,0,0,Extranjero NO LATAM,18.0,Solicitud,93.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laguna,LAG,Mexicana,F,N5,NEG,LAE,H12309,Bachillerato Cumbres Torreón,Torreón,México,94.0,1213,Perfil A,1,1,Laguna,17.0,Solicitud,106.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Luis Potosí,SLP,Mexicana,F,N5,NEG,LIT,H00234,Instituto Potosino,San Luis Potosí,México,96.0,1371,Perfil A+,0,0,San Luis Potosí,17.0,Solicitud,106.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Salvadoreña,M,N5,NEG,BGB,H92033,Colegio Internacional de San S,,El Salvador,83.5,1231,Perfil A,1,1,Extranjero LATAM,17.0,Solicitud,104.0,19.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,IBQ,IBQ,H21839,Liceo de Monterrey Blueridge,Monterrey,México,98.0,1312,Perfil A,1,1,Monterrey,18.0,Solicitud,110.0,25.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Mexicana,M,N5,AMC,IC,H00475,Universidad de Monterrey,Monterrey,México,96.7,1432,Perfil A+,1,1,Monterrey,18.0,Solicitud,110.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Santa Fe,CSF,Mexicana,M,N5,IBQ,IDS,H08654,Colegio Vista Hermosa,Cuajimalpa de Morelos,México,75.5,1314,Perfil B,1,1,Santa Fe,19.0,Solicitud,60.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,F,N5,CIS,LRI,H22422,Colegio de Bachilleres Simon B,Coatepec,México,97.0,1089,Perfil D,0,0,Puebla,20.0,Solicitud,50.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
