num__V_PROM_IND,num__V_PAA_IND,num__PUNTAJE_EUC,num__EDAD,num__PRC_BECA_F,num__RUBRICA_LOG,num__ENSAYO_LOG,num__TIENE_BECA,num__PROMEDIO_ALTO,num__CAMPUS_UTILIZADO_FREQ,num__SEDE_FREQ,ord__CLAVE_GENERO,ord__AREA,ord__ORIGEN_DE_LA_SOLICITUD,ord__GRUPO_EDAD,ohe__TIPO_BECA_F_Sin beca,ohe__TIPO_BECA_F_Tradicional,ohe__AREA_PBI,ohe__AREA_PTM,INSCRITO
-0.2820458364894435,1.324488268935703,0.7196981009459169,0.7043960287413352,-0.22658350664628094,-0.5385350781443264,-1.8087757081355529,-0.2736401927214403,-1.2848853245094225,-1.2262810498979868,-1.0525341967492032,1.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0,1
0.5475270049269713,-0.3606016314039455,-1.6720296872628642,0.7043960287413352,-0.22658350664628094,0.6090147794155046,0.8815383739925294,-0.2736401927214403,0.7782795716666829,-1.2616342866402384,-1.089796120545928,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1
-2.529195745518103,0.9508710512133375,1.0876562222088062,-0.9356440908598295,-0.22658350664628094,-1.0572378583775235,0.41118507913123364,-0.2736401927214403,-1.2848853245094225,0.6439051737671253,0.9186215720975456,1.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0,1
-0.09478334407038853,-1.7864469316913405,0.3517399796830275,2.3444361483425,-0.22658350664628094,-0.7910582766122327,0.8815383739925294,-0.2736401927214403,0.7782795716666829,1.690360981337774,2.0215745164806034,1.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,1
-0.09478334407038853,0.7678748629411585,-0.9361134447370854,0.7043960287413352,-0.22658350664628094,-0.013682237121468821,-0.8614129097745262,-0.2736401927214403,0.7782795716666829,-0.7030531461126626,-0.5010577245576743,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1
-1.4992520372133007,-1.4738284433930346,-0.568155323474196,0.7043960287413352,-0.22658350664628094,-3.8294191508025657,-0.48544526663068893,-0.2736401927214403,-1.2848853245094225,0.6439051737671253,0.9186215720975456,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0
1.3096853490725235,0.5925035158469869,-2.1319773388414758,0.7043960287413352,-0.22658350664628094,0.4100736509203747,0.41118507913123364,-0.2736401927214403,0.7782795716666829,0.23734295123123098,0.4901094484352085,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1
-0.6565708213275534,-1.344206143366908,-2.499935460104365,-0.9356440908598295,-0.22658350664628094,-0.7910582766122327,0.8815383739925294,-0.2736401927214403,-1.2848853245094225,1.690360981337774,2.0215745164806034,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1
-0.6565708213275534,-1.1840844786287512,-1.9479982782100311,-0.9356440908598295,-0.22658350664628094,-0.7910582766122327,-3.2470435345246407,-0.2736401927214403,-1.2848853245094225,-0.11618941619128521,-0.6538316121242465,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1
0.8415291180248863,1.0042449394593898,-0.10820767189558421,-0.9356440908598295,-0.22658350664628094,0.5105490366987583,0.6561721319172258,-0.2736401927214403,0.7782795716666829,-0.9010312718692717,-0.7097244978193338,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1
-0.7502020675370809,0.3408837569727407,0.4437295099987498,-0.9356440908598295,-0.22658350664628094,0.5105490366987583,0.6561721319172258,-0.2736401927214403,-1.2848853245094225,1.690360981337774,2.0215745164806034,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1
-1.2183582985847183,0.15026272752255423,0.5357190403144722,-0.9356440908598295,-0.22658350664628094,-0.18249156416338594,-0.48544526663068893,-0.2736401927214403,-1.2848853245094225,-0.7702242959229406,-0.5718553797714516,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1
0.9351603642344137,0.3485085981507482,-1.5800401569471418,0.7043960287413352,-0.22658350664628094,-0.2983350976800243,-0.8614129097745262,-0.2736401927214403,0.7782795716666829,0.24441359857968165,-1.2276652385938103,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1
0.1861103945581939,0.196011774590599,-0.7521343841056406,-0.9356440908598295,-0.22658350664628094,-0.013682237121468821,-0.8614129097745262,-0.2736401927214403,0.7782795716666829,1.3651112033090587,0.724859568354576,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1
1.5905790877011061,2.3843411926787397,0.6277085706301946,0.7043960287413352,-0.22658350664628094,0.8931199264482219,0.41118507913123364,-0.2736401927214403,0.7782795716666829,-0.9010312718692717,-0.7097244978193338,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1
0.7478978718153587,1.408361521893785,0.07577138873586048,-0.9356440908598295,-0.22658350664628094,1.0738052705243786,0.8815383739925294,-0.2736401927214403,0.7782795716666829,-1.3005228470567152,-1.1307842367223255,1.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0,1
0.5606353793963038,1.2939889042236732,-0.47616579315847357,-0.9356440908598295,-0.22658350664628094,0.6090147794155046,0.8815383739925294,-0.2736401927214403,0.7782795716666829,1.3651112033090587,0.724859568354576,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1
0.5606353793963038,0.3866328040407855,-0.20019720221130657,-0.9356440908598295,-0.22658350664628094,0.14953015794682084,0.41118507913123364,-0.2736401927214403,0.7782795716666829,1.690360981337774,2.0215745164806034,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1
