num__V_PROM_IND,num__V_PAA_IND,num__PUNTAJE_EUC,num__EDAD,num__PRC_BECA_F,num__PRC_CREDITO_F,ohe__CLAVE_GENERO_M,ohe__NACIONALIDAD_Mexicana,ohe__NACIONALIDAD_Otros,ohe__AREA_CIS,ohe__AREA_ESC,ohe__AREA_IBQ,ohe__AREA_ICI,ohe__AREA_ICT,ohe__AREA_IIT,ohe__AREA_NEG,ohe__AREA_SLD,ohe__TIPO_BECA_F_Sin beca,ohe__TIPO_BECA_F_Tradicional,ohe__CAMPUS_UTILIZADO_Chihuahua,ohe__CAMPUS_UTILIZADO_Ciudad de México,ohe__CAMPUS_UTILIZADO_Cuernavaca,ohe__CAMPUS_UTILIZADO_Estado de México,ohe__CAMPUS_UTILIZADO_Guadalajara,ohe__CAMPUS_UTILIZADO_Hidalgo,ohe__CAMPUS_UTILIZADO_Laguna,ohe__CAMPUS_UTILIZADO_León,ohe__CAMPUS_UTILIZADO_Monterrey,ohe__CAMPUS_UTILIZADO_Puebla,ohe__CAMPUS_UTILIZADO_Querétaro,ohe__CAMPUS_UTILIZADO_San Luis Potosí,ohe__CAMPUS_UTILIZADO_Santa Fe,ohe__CAMPUS_UTILIZADO_Sinaloa,ohe__CAMPUS_UTILIZADO_Sonora Norte,ohe__CAMPUS_UTILIZADO_Toluca,ohe__ORIGEN_DE_LA_SOLICITUD_Marketing digital,ohe__ORIGEN_DE_LA_SOLICITUD_Solicitud,ohe__RANGO_EDAD_<18,INSCRITO
-2.2442921927324484,0.13321103629630252,0.2800798067023234,2.1428475616822786,6.3754883453086695,-0.1944331114509374,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
-0.3066029927194393,0.10629463310465542,0.9739427828355139,0.6141796356720441,-0.23620678910163553,-0.1944331114509374,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.4146044468525585,2.4345635091821283,0.9739427828355139,0.6141796356720441,-0.23620678910163553,-0.1944331114509374,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
-0.06173018172878231,0.10629463310465542,0.3792030890070649,0.6141796356720441,6.3754883453086695,-0.1944331114509374,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.9915370872295329,0.10629463310465542,0.9739427828355139,0.6141796356720441,-0.23620678910163553,-0.1944331114509374,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.2789624248669123,0.10629463310465542,-0.21553660482138406,0.6141796356720441,-0.23620678910163553,-0.1944331114509374,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-1.3304552531658742,0.10629463310465542,0.6765729359212894,0.6141796356720441,-0.23620678910163553,-0.1944331114509374,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.7775802501449861,-0.06866198764105064,0.9739427828355139,0.6141796356720441,6.3754883453086695,-0.1944331114509374,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.2576691369546806,0.10629463310465542,0.775696218226031,0.6141796356720441,6.3754883453086695,-0.1944331114509374,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.055382901788487,0.10629463310465542,0.9739427828355139,0.6141796356720441,-0.23620678910163553,-0.1944331114509374,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
