SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,DESC_ESTADO_ESCUELA,V_PROM_IND,V_PAA_IND,FECHA_DECISION_ADMISION_FINAL,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,BECABTE,DISCIPLINA,V_BHP,POST_ANYBECA,TIPO_BECA_F,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F,ESTADO_BSE,ESTADO_BTE
TAM,Mexicana,M,P5,IC,H00155,Tamaulipas,85.7,0,2023-10-17T00:00:00.000Z,1,Tampico,18.0,Base de datos,42.0,0.15,0.15,0.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.15,0.15,2.0,0.0
TOL,Mexicana,M,P5,LIT,H00163,Estado de México,80.93,0,2024-02-13T00:00:00.000Z,1,Toluca,17.0,Base de datos,42.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,O5,LPS,H19021,Nuevo León,90.35,1225,2024-01-16T00:00:00.000Z,1,Monterrey,18.0,Solicitud,50.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MOR,Mexicana,M,P5,ICT,H00169,Morelos,96.93,1404,2023-10-23T00:00:00.000Z,1,Cuernavaca,18.0,Base de datos,35.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,M,O5,IMT,H00174,Sonora,94.93,0,2024-01-12T00:00:00.000Z,1,Sonora Norte,17.0,Solicitud,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
HGO,Mexicana,F,P5,LAD,H00167,Hidalgo,90.23,0,2024-01-22T00:00:00.000Z,1,Hidalgo,17.0,Base de datos,47.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CCM,Mexicana,M,O5,IBQ,H13819,Ciudad de México,86.26,0,2023-11-21T00:00:00.000Z,0,Santa Fe,19.0,Solicitud,46.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CHH,Mexicana,M,O5,LRI,H00174,Sonora,95.5,1336,2024-01-29T00:00:00.000Z,0,Sonora Norte,18.0,Solicitud,50.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
PUE,Mexicana,M,O5,NEG,H00158,Querétaro,83.769,0,2023-12-13T00:00:00.000Z,1,Querétaro,18.0,Base de datos,43.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,P5,IBQ,H13917,Nuevo León,89.66,0,2023-09-28T00:00:00.000Z,1,Monterrey,18.0,Base de datos,47.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CEM,Mexicana,F,P5,LEM,H00168,Estado de México,91.0,0,2023-11-11T00:00:00.000Z,1,Estado de México,18.0,Base de datos,50.0,0.2,0.2,0.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.2,0.2,2.0,0.0
MTY,Mexicana,F,P5,NEG,H13917,Nuevo León,89.45,0,2023-11-06T00:00:00.000Z,1,Monterrey,18.0,Solicitud,48.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,M,P5,AMC,H00177,Jalisco,92.2,1367,2023-10-25T00:00:00.000Z,1,Guadalajara,18.0,Base de datos,37.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
AGS,Mexicana,M,P5,ICI,H04128,Aguascalientes,93.67,1401,2023-10-11T00:00:00.000Z,1,Aguascalientes,17.0,Solicitud,50.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
