SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,DESC_ESTADO_ESCUELA,V_PROM_IND,V_PAA_IND,V_TEC_NO_TEC,FECHA_DECISION_ADMISION_FINAL,PERFIL,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,RUBRICA,ENSAYO,CV,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,BECABTE,DISCIPLINA,V_BHP,POST_ANYBECA,TIPO_BECA_F,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F,ESTADO_BSE,ESTADO_BTE
GDA,Indefinida,F,N5,LC,H15057,Jalisco,100.0,1336,No Tec,2023-10-26T00:00:00.000Z,Perfil A,0,Guadalajara,18.0,Solicitud,50.0,92.0,17.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,ICI,H45384,,99.55,1520,No Tec,2023-12-15T00:00:00.000Z,Perfil A+,1,Extranjero LATAM,18.0,Solicitud,,100.0,25.0,15.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,ICI,H15466,Nuevo León,99.38,1498,No Tec,2023-10-19T00:00:00.000Z,Perfil A+,1,Monterrey,17.0,Solicitud,50.0,110.0,25.0,25.0,0.15,0.15,1.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.15,0.15,2.0,0.0
GDA,Mexicana,F,N5,LAD,H01060,Jalisco,92.0,1359,No Tec,2023-11-15T00:00:00.000Z,Perfil A,1,Guadalajara,17.0,Solicitud,50.0,93.0,23.0,10.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,NEG,H00103,Nuevo León,80.96,1261,No Tec,2024-01-03T00:00:00.000Z,Perfil A,1,Monterrey,17.0,Solicitud,18.0,90.0,15.0,15.0,0.0,0.25,0.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.0,0.25,2.0,0.0
GDA,Mexicana,F,N5,IM,H20607,Jalisco,94.04,1341,No Tec,2024-01-25T00:00:00.000Z,Perfil A,1,Guadalajara,17.0,Solicitud,43.0,89.0,19.0,10.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,LEC,H15466,Nuevo León,80.0,1302,No Tec,2024-02-23T00:00:00.000Z,Perfil A,0,Monterrey,21.0,Solicitud,45.0,85.0,15.0,10.0,,,,,,,,,,,,,
SAL,Mexicana,M,N5,NEG,H67832,Coahuila,87.0,1267,No Tec,2023-12-12T00:00:00.000Z,Perfil A,0,Saltillo,18.0,Solicitud,9.0,83.0,13.0,10.0,0.45,0.25,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
CCM,Mexicana,M,N5,IMT,H00021,Nuevo León,96.38,1448,No Tec,2024-02-28T00:00:00.000Z,Perfil A+,0,Monterrey,16.0,Solicitud,29.0,96.0,21.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,M,N5,IBQ,H16826,Querétaro,98.0,1416,No Tec,2024-01-11T00:00:00.000Z,Perfil A,1,Querétaro,17.0,Solicitud,47.0,104.0,19.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
HER,Mexicana,F,N5,ITC,H27058,Sonora,96.2,1492,No Tec,2023-10-27T00:00:00.000Z,Perfil A+,0,Sonora Norte,17.0,Solicitud,50.0,86.0,11.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,M,N5,IM,H04925,Querétaro,87.0,1201,No Tec,2023-12-05T00:00:00.000Z,Perfil A,1,Querétaro,18.0,Marketing digital,48.0,100.0,15.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IQ,H00103,Nuevo León,89.3,1283,No Tec,2023-10-12T00:00:00.000Z,Perfil B,0,Monterrey,16.0,Solicitud,36.0,80.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
PUE,Mexicana,F,N5,IQ,H67050,Veracruz,97.0,1178,No Tec,2024-02-21T00:00:00.000Z,Perfil A,1,Puebla,17.0,Solicitud,19.0,72.0,2.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CCM,Mexicana,M,N5,BME,H68225,Veracruz,97.5,1307,No Tec,2024-01-22T00:00:00.000Z,Perfil A,1,Puebla,17.0,Marketing digital,,104.0,19.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CCM,Mexicana,F,N5,LTM,H16944,Estado de México,80.0,1246,No Tec,2023-11-18T00:00:00.000Z,Perfil A,0,Toluca,23.0,Solicitud,27.0,95.0,25.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,LAD,H02293,Nuevo León,86.06,1202,No Tec,2023-11-16T00:00:00.000Z,Perfil B,1,Monterrey,16.0,Solicitud,50.0,70.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
MTY,Mexicana,F,N5,IBQ,H00006,Nuevo León,94.7,1346,No Tec,2023-12-11T00:00:00.000Z,Perfil A,1,Monterrey,17.0,Solicitud,49.0,106.0,21.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,,,N5,ITC,H00036,Nuevo León,92.52,1313,No Tec,,Perfil B,0,Monterrey,17.0,Solicitud,39.0,59.0,19.0,10.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,NEG,H00006,Nuevo León,88.8,1207,No Tec,2023-12-05T00:00:00.000Z,Perfil A,1,Monterrey,18.0,Solicitud,27.0,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,INA,H16285,Veracruz,95.7,1306,No Tec,2023-11-16T00:00:00.000Z,Perfil A,1,Puebla,17.0,Solicitud,43.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CHH,Mexicana,M,N5,IC,H13690,Chihuahua,100.0,1335,No Tec,2024-02-06T00:00:00.000Z,Perfil A,1,Chihuahua,17.0,Marketing digital,50.0,100.0,25.0,15.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,IIS,H43899,Sinaloa,90.0,1304,No Tec,2024-02-27T00:00:00.000Z,Perfil A,0,Sinaloa,17.0,Solicitud,35.0,95.0,25.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,ITC,H62125,Tamaulipas,93.0,1370,No Tec,2023-12-05T00:00:00.000Z,Perfil A+,1,Tampico,17.0,Solicitud,,108.0,23.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
AGS,Mexicana,F,N5,ESC,H17282,Aguascalientes,80.0,1117,No Tec,2024-01-10T00:00:00.000Z,Perfil D,1,Aguascalientes,24.0,Solicitud,50.0,40.0,15.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,ICT,H66269,Nuevo León,92.06,1297,No Tec,2023-10-27T00:00:00.000Z,Perfil A,0,Monterrey,16.0,Solicitud,49.0,89.0,19.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CSF,Mexicana,M,N5,IIT,H08632,Ciudad de México,93.0,1208,No Tec,2023-11-17T00:00:00.000Z,Perfil A,1,Santa Fe,18.0,Solicitud,32.0,90.0,15.0,15.0,0.0,0.0,0.0,0.0,No aplica,1.0,1.0,Hijo de Profesor,1.0,0.9,0.0,0.0,0.0
MTY,Mexicana,F,N5,BA,H67816,Veracruz,99.64,1445,No Tec,2023-11-09T00:00:00.000Z,Perfil A+,1,Puebla,17.0,Marketing digital,50.0,104.0,19.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
SIN,Mexicana,M,N5,LEM,H21707,Sinaloa,87.45,1349,No Tec,2023-12-12T00:00:00.000Z,Perfil A,0,Sinaloa,18.0,Solicitud,50.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
SIN,Mexicana,M,N5,LAF,H17280,Sinaloa,85.0,1290,No Tec,2023-11-29T00:00:00.000Z,Perfil A,1,Sinaloa,17.0,Solicitud,46.0,90.0,15.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IDM,H77591,Baja California,88.0,1339,No Tec,2023-11-06T00:00:00.000Z,Perfil A,1,,27.0,Solicitud,36.0,85.0,15.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
CDJ,Mexicana,M,N5,IBQ,H00094,Chihuahua,97.06,1308,No Tec,2024-01-26T00:00:00.000Z,Perfil A,1,Ciudad Juárez,17.0,Solicitud,50.0,85.0,15.0,10.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IIT,H00691,Colima,98.0,1183,No Tec,2023-10-12T00:00:00.000Z,Perfil A,0,Guadalajara,17.0,Solicitud,50.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
HER,Mexicana,F,N5,ARQ,H66346,Sonora,92.78,1262,No Tec,2023-11-09T00:00:00.000Z,Perfil A,1,Sonora Norte,17.0,Solicitud,29.0,95.0,25.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
CEM,Mexicana,F,N5,IRS,H08533,Estado de México,90.0,1469,No Tec,2024-02-14T00:00:00.000Z,Perfil A+,1,Estado de México,24.0,Solicitud,50.0,104.0,19.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,M,N5,IAG,H78155,Querétaro,92.0,1179,No Tec,2023-12-13T00:00:00.000Z,Perfil C,1,,17.0,Solicitud,43.0,53.0,13.0,25.0,0.0,0.0,0.0,0.0,Atletico,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,1.0
PUE,Mexicana,M,N5,LAE,H49557,Veracruz,97.98,1300,No Tec,2024-02-14T00:00:00.000Z,Perfil A,1,,17.0,Solicitud,34.0,90.0,15.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
SIN,Mexicana,M,N5,IDM,H21707,Sinaloa,98.75,1393,No Tec,2023-11-30T00:00:00.000Z,Perfil A+,1,Sinaloa,17.0,Solicitud,50.0,104.0,19.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IIT,H00017,Nuevo León,99.28,1399,No Tec,2024-01-12T00:00:00.000Z,Perfil A+,1,Monterrey,17.0,Solicitud,37.0,74.0,4.0,10.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Indefinida,M,N5,IDM,H00133,Sinaloa,92.0,1278,No Tec,2023-11-07T00:00:00.000Z,Perfil A,1,Guadalajara,17.0,Solicitud,50.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,F,N5,MC,H15057,Jalisco,89.2,1450,No Tec,2024-01-04T00:00:00.000Z,Perfil A,1,Guadalajara,24.0,Solicitud,50.0,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Estadounidense,M,N5,NEG,H60749,Georgia,93.6,1147,No Tec,2024-02-20T00:00:00.000Z,Perfil B,0,Extranjero No LATAM,21.0,Marketing digital,,76.0,21.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Estadounidense,F,N5,MC,H82283,Massachusetts,98.0,1450,No Tec,2024-02-16T00:00:00.000Z,Perfil A+,1,Extranjero No LATAM,17.0,Solicitud,,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CDJ,Mexicana,F,N5,CIS,H00431,Chihuahua,94.0,1337,No Tec,2024-02-15T00:00:00.000Z,Perfil A,1,Ciudad Juárez,18.0,Solicitud,50.0,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
LEO,Mexicana,M,N5,ITC,H69139,Ciudad de México,93.0,1158,No Tec,2024-02-15T00:00:00.000Z,Perfil B,0,Ciudad de México,20.0,Solicitud,48.0,70.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
PUE,Brasileña,M,N5,ITC,H01948,Puebla,96.8,1093,No Tec,2023-11-30T00:00:00.000Z,Perfil D,0,Puebla,17.0,Solicitud,46.0,27.0,17.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CEM,Mexicana,M,N5,ITC,H67463,Guerrero,90.0,1329,No Tec,2023-12-12T00:00:00.000Z,Perfil A,1,Cuernavaca,20.0,Contacto directo,50.0,100.0,15.0,25.0,0.25,0.25,1.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.25,0.25,2.0,0.0
QRO,Mexicana,F,N5,NEG,H15466,Nuevo León,95.0,1318,No Tec,2024-01-24T00:00:00.000Z,Perfil A,0,Monterrey,18.0,Solicitud,44.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,BIE,H19549,Nuevo León,95.42,1326,No Tec,2024-01-02T00:00:00.000Z,Perfil A,1,Monterrey,17.0,Solicitud,44.0,100.0,15.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
SIN,Mexicana,F,N5,IRS,H21707,Sinaloa,98.68,1314,No Tec,2023-11-29T00:00:00.000Z,Perfil A,1,Sinaloa,17.0,Solicitud,50.0,90.0,15.0,15.0,0.2,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
MTY,Mexicana,F,N5,IBT,H00006,Nuevo León,96.05,1260,No Tec,2023-12-06T00:00:00.000Z,Perfil A,1,Monterrey,18.0,Solicitud,25.0,95.0,25.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,F,N5,NEG,H00178,Sinaloa,98.0,1309,No Tec,2023-12-05T00:00:00.000Z,Perfil A,1,Guadalajara,17.0,Solicitud,31.0,110.0,25.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,F,N5,ITC,H60266,Sinaloa,100.0,1494,No Tec,2023-11-09T00:00:00.000Z,Perfil A+,1,Guadalajara,17.0,Solicitud,50.0,89.0,19.0,10.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IC,H00027,Tamaulipas,83.57,1172,No Tec,2024-01-18T00:00:00.000Z,Perfil A,1,Monterrey,17.0,Solicitud,40.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,F,N5,ARQ,H27268,Sinaloa,97.0,1375,No Tec,2023-11-09T00:00:00.000Z,Perfil A+,1,Guadalajara,18.0,Solicitud,,90.0,15.0,15.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,IBT,H67922,Nuevo León,96.7,1395,No Tec,2023-12-04T00:00:00.000Z,Perfil A+,1,Monterrey,17.0,Marketing digital,50.0,106.0,21.0,25.0,0.25,0.25,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
MTY,Mexicana,M,N5,LED,H15466,Nuevo León,88.86,1228,No Tec,2024-02-06T00:00:00.000Z,Perfil A,0,Monterrey,17.0,Solicitud,42.0,95.0,25.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
SIN,Mexicana,M,N5,LTM,H16711,Sinaloa,87.0,1269,No Tec,2024-02-15T00:00:00.000Z,Perfil A,1,Sinaloa,20.0,Solicitud,50.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IMD,H67922,Nuevo León,95.15,1500,No Tec,2024-02-12T00:00:00.000Z,Perfil A+,1,Monterrey,18.0,Solicitud,,104.0,19.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,IIT,H00426,Sinaloa,96.0,1318,No Tec,2023-11-21T00:00:00.000Z,Perfil A,1,Guadalajara,18.0,Solicitud,26.0,100.0,15.0,25.0,0.0,0.0,1.0,0.0,Atletico,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,1.0
MTY,Mexicana,M,N5,IC,H80444,Yucatán,98.0,1494,No Tec,2024-02-06T00:00:00.000Z,Perfil A+,0,,18.0,Solicitud,50.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IIS,H00639,Sinaloa,94.0,1260,No Tec,2024-02-22T00:00:00.000Z,Perfil A,1,Guadalajara,17.0,Solicitud,47.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,LAD,H00639,Sinaloa,98.93,1406,No Tec,2023-11-24T00:00:00.000Z,Perfil A+,1,Guadalajara,17.0,Marketing digital,50.0,100.0,25.0,15.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
SLP,Mexicana,M,N5,ARQ,H49297,San Luis Potosí,84.0,1381,No Tec,2023-10-26T00:00:00.000Z,Perfil A,0,,21.0,Solicitud,,60.0,,,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,ITC,H01089,Sinaloa,94.76,1283,No Tec,2023-11-07T00:00:00.000Z,Perfil A,0,Guadalajara,17.0,Solicitud,50.0,106.0,21.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,NEG,H00006,Nuevo León,92.6,1379,No Tec,2023-12-04T00:00:00.000Z,Perfil A+,1,Monterrey,17.0,Solicitud,32.0,88.0,13.0,15.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IQ,H09875,Nuevo León,93.77,1312,No Tec,2024-01-31T00:00:00.000Z,Perfil A,1,Monterrey,17.0,Solicitud,50.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
HER,Mexicana,F,N5,IIT,H12982,Sonora,96.0,1435,No Tec,2023-10-27T00:00:00.000Z,Perfil A+,1,Sonora Norte,18.0,Solicitud,50.0,95.0,25.0,10.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,MC,H00103,Nuevo León,92.46,1382,No Tec,2024-01-26T00:00:00.000Z,Perfil A+,1,Monterrey,17.0,Solicitud,43.0,85.0,15.0,10.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,NEG,H02293,Nuevo León,87.59,1322,No Tec,2024-01-26T00:00:00.000Z,Perfil A,1,Monterrey,16.0,Marketing digital,35.0,85.0,15.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
TOL,Mexicana,M,N5,NEG,H21731,Estado de México,80.0,1160,No Tec,2023-10-27T00:00:00.000Z,Perfil C,0,Toluca,22.0,Marketing digital,50.0,61.0,21.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,MC,H00006,Nuevo León,98.83,1357,No Tec,2024-02-20T00:00:00.000Z,Perfil A,0,Monterrey,18.0,Solicitud,50.0,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CCM,Mexicana,M,N5,LPS,H05411,Ciudad de México,82.7,1202,No Tec,2023-12-05T00:00:00.000Z,Perfil A,1,Ciudad de México,20.0,Solicitud,26.0,106.0,21.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
PUE,Mexicana,M,N5,LEM,H63362,Quintana Roo,90.0,1292,No Tec,2024-02-13T00:00:00.000Z,Perfil A,1,Puebla,20.0,Solicitud,50.0,88.0,3.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IIT,H00475,Nuevo León,92.91,1352,No Tec,2023-12-04T00:00:00.000Z,Perfil A,1,Monterrey,17.0,Solicitud,37.0,82.0,7.0,15.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IIT,H00475,Nuevo León,93.4,1354,No Tec,2023-12-04T00:00:00.000Z,Perfil A,1,Monterrey,17.0,Solicitud,29.0,100.0,25.0,15.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,IM,H00025,Nuevo León,97.0,1135,No Tec,2024-01-09T00:00:00.000Z,Perfil B,1,Monterrey,18.0,Solicitud,45.0,80.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
GDA,Mexicana,M,N5,CPF,H00373,Tamaulipas,84.5,1115,No Tec,2024-01-27T00:00:00.000Z,Perfil D,1,Tampico,18.0,Solicitud,26.0,29.0,19.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IIS,H15466,Nuevo León,91.54,1259,No Tec,2024-02-14T00:00:00.000Z,Perfil A,0,Monterrey,17.0,Solicitud,,77.0,7.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,IAL,H00354,Sinaloa,98.0,1424,No Tec,2023-12-05T00:00:00.000Z,Perfil A+,1,Sinaloa,17.0,Solicitud,50.0,106.0,21.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CDJ,Mexicana,M,N5,IIS,H60577,Chihuahua,91.75,1343,No Tec,2023-12-05T00:00:00.000Z,Perfil A,1,Ciudad Juárez,18.0,Solicitud,49.0,100.0,25.0,15.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,CIS,H27463,Indiana,85.49,1230,No Tec,2024-02-01T00:00:00.000Z,Perfil A,1,Extranjero No LATAM,18.0,Marketing digital,43.0,90.0,15.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,LC,H00021,Nuevo León,88.75,1185,No Tec,2024-02-01T00:00:00.000Z,Perfil A,0,Monterrey,16.0,Solicitud,,93.0,23.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
SAL,Mexicana,F,N5,NEG,H00226,Coahuila,95.74,1185,No Tec,2023-12-12T00:00:00.000Z,Perfil A,1,Saltillo,17.0,Solicitud,29.0,87.0,12.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,NEG,H40595,New Mexico,93.88,1240,No Tec,2023-11-13T00:00:00.000Z,Perfil A,0,Extranjero No LATAM,19.0,Solicitud,,104.0,19.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
TOL,Mexicana,M,N5,NEG,H44944,Estado de México,84.0,1268,No Tec,2024-01-25T00:00:00.000Z,Perfil A,0,,19.0,Solicitud,47.0,104.0,19.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,M,N5,ITC,H06836,Querétaro,88.0,1333,No Tec,2023-11-13T00:00:00.000Z,Perfil A,0,Querétaro,19.0,Solicitud,50.0,85.0,15.0,10.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Argentina,F,N5,IMD,H44245,Jalisco,91.0,1424,No Tec,2023-10-26T00:00:00.000Z,Perfil A+,1,Guadalajara,19.0,Solicitud,50.0,100.0,25.0,15.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
GDA,Mexicana,F,N5,BGB,H85630,Ontario,94.0,1217,No Tec,2024-02-28T00:00:00.000Z,Perfil A,0,Extranjero No LATAM,19.0,Solicitud,,110.0,25.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
