SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,DESC_ESTADO_ESCUELA,V_PROM_IND,V_PAA_IND,V_TEC_NO_TEC,FECHA_DECISION_ADMISION_FINAL,PERFIL,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,RUBRICA,ENSAYO,CV,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,BECABTE,DISCIPLINA,V_BHP,POST_ANYBECA,TIPO_BECA_F,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F,ESTADO_BSE,ESTADO_BTE
MTY,Mexicana,F,N5,LAD,H00069,Nuevo León,97.5,1342,No Tec,2024-01-16T00:00:00.000Z,Perfil A,1,Monterrey,17.0,Solicitud,50.0,88.0,13.0,15.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IBT,H46407,Baja California,94.44,1298,No Tec,2024-02-06T00:00:00.000Z,Perfil A,0,Monterrey,17.0,Solicitud,50.0,96.0,21.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CCM,Mexicana,M,N5,IMD,H15681,Ciudad de México,95.45,1158,No Tec,2023-12-12T00:00:00.000Z,Perfil B,0,Estado de México,17.0,Solicitud,31.0,70.0,15.0,25.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CHH,Mexicana,F,N5,IBT,H00418,Chihuahua,96.5,1252,No Tec,2024-02-06T00:00:00.000Z,Perfil A,1,Chihuahua,17.0,Solicitud,46.0,98.0,23.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CCM,Mexicana,F,N5,LRI,H64315,Ciudad de México,94.5,1349,No Tec,2023-12-12T00:00:00.000Z,Perfil A,1,Ciudad de México,17.0,Contacto directo,,100.0,15.0,25.0,0.0,0.0,1.0,0.0,Artistico,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,1.0
PUE,Mexicana,F,N5,IBQ,H62953,Puebla,95.0,1189,No Tec,2024-01-03T00:00:00.000Z,Perfil A,0,Puebla,18.0,Solicitud,49.0,94.0,19.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
GDA,Mexicana,M,N5,BFI,H12375,Sinaloa,81.7,1311,No Tec,2024-02-12T00:00:00.000Z,Perfil A,0,Sinaloa,18.0,Solicitud,50.0,90.0,15.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,N5,IMD,H00534,Coahuila,94.87,1259,No Tec,2024-02-26T00:00:00.000Z,Perfil A,0,Saltillo,16.0,Solicitud,45.0,100.0,25.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
PUE,Mexicana,F,N5,IIT,H62953,Puebla,97.0,1425,No Tec,2024-02-01T00:00:00.000Z,Perfil A+,0,Puebla,18.0,Solicitud,50.0,110.0,25.0,25.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,N5,IIT,H21839,Nuevo León,89.19,1134,No Tec,2024-02-01T00:00:00.000Z,Perfil B,0,Monterrey,18.0,Solicitud,46.0,60.0,15.0,15.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
